RISK_LEVEL,CUSTOMER_COUNT,AVG_DEFAULT_PROBABILITY,MIN_DEFAULT_PROBABILITY,MAX_DEFAULT_PROBABILITY,AVG_RISK_SCORE,CUSTOMER_RATE
Low Risk,4097,0.07360027469165387,0.0183041835349652,0.0999961425595747,7.360056138638028,0.08405137042507796
Medium Risk,18671,0.19541311536954628,0.1000063044145908,0.2999854154003347,19.541319693642546,0.3830420154275398
High Risk,12754,0.39334329653401484,0.3000100211661473,0.4999973234291615,39.33438529088913,0.26165271623174136
Very High Risk,13222,0.6556678057843702,0.5000305151305099,0.9464493004442622,65.56674255029496,0.2712538979156409
