feature,importance
PREV_ESTIMATED_PAYMENT_TOTAL,28
NONLIVINGAREA_MODE,27
YEARS_BEGINEXPLUATATION_AVG,27
CC_AVG_ACCOUNT_CREDIT_LIMIT,27
NONLIVINGAREA_MEDI,26
CC_MAX_BALANCE,26
CAR_LOAN_COUNT,26
NAME_CONTRACT_TYPE,26
TOTAL_OVERPAID_AMOUNT,26
TOTAL_UNDERPAID_AMOUNT,25
NONLIVINGAREA_AVG,25
CC_TOTAL_BALANCE_USED_MONTH_COUNT,25
PREV_MAX_CREDIT_AMOUNT,25
BASEMENTAREA_AVG,25
LIVINGAREA_AVG,25
APARTMENTS_MODE,25
YEARS_BUILD_MODE,25
LANDAREA_MODE,25
LIVINGAREA_MODE,25
POS_MAX_DPD_DEF,24
RECENT_AVG_PAYMENT_RATIO,24
BB_AVG_UNKNOWN_MONTH_RATIO,24
CC_CUSTOMER_EARLIEST_MONTH,23
CC_RECENT_AVG_MIN_PAYMENT_RATIO,23
PREV_CASH_LOAN_RATE,23
PREV_TOTAL_APPLICATION_AMOUNT,23
COMMONAREA_MEDI,23
TOTAL_PAYMENT_AMOUNT_DIFF,23
BB_EARLIEST_MONTH,22
APARTMENTS_AVG,22
RECENT_UNDERPAID_INSTALMENT_RATE,22
LATE_INSTALMENT_COUNT,21
UNDERPAID_INSTALMENT_RATE,21
CC_TOTAL_POS_DRAWINGS_AMOUNT,21
FLOORSMAX_AVG,21
MAX_UNDERPAID_AMOUNT,20
PREV_CANCELED_RATE,20
CC_TOTAL_ATM_DRAWING_MONTH_RATE,20
CC_AVG_HISTORY_MONTH_COUNT,19
POS_RECENT_DPD_MONTH_RATE,19
TOTAL_PAYMENT_COMPLETION_RATIO,19
CC_TOTAL_LATEST_BALANCE,19
LIVINGAPARTMENTS_MODE,19
FLOORSMIN_AVG,19
FLOORSMAX_MEDI,18
LIVINGAPARTMENTS_AVG,18
CC_RECENT_TOTAL_DRAWINGS_AMOUNT,18
CC_TOTAL_UNDER_MIN_PAYMENT_MONTH_COUNT,18
BUREAU_RECORD_COUNT,18
POS_TOTAL_DPD_DEF_MONTH_RATE,18
BB_AVG_MAX_DPD_LEVEL,18
POS_LOAN_COUNT,17
CC_TOTAL_ATM_DRAWING_MONTH_COUNT,16
CC_TOTAL_ATM_DRAWINGS_AMOUNT,16
PREV_CASH_LOAN_COUNT,16
BB_MAX_MONTH_COUNT,16
PREV_ZERO_DOWN_PAYMENT_RATE,16
APARTMENTS_MEDI,16
RECENT_INSTALMENT_COUNT,16
BASEMENTAREA_MODE,16
CC_AVG_ACCOUNT_UTILIZATION_RATIO,16
PREV_MAX_GOODS_PRICE,16
AMT_REQ_CREDIT_BUREAU_MON,15
FLAG_DOCUMENT_13,15
PREV_REFUSED_COUNT,15
EXT_SOURCE_3_MISSING,15
COMMONAREA_MODE,15
BB_AVG_DPD_MONTH_COUNT,15
AVG_INSTALMENT_PAYMENT_RATIO,15
MAX_INSTALMENT_PAYMENT_RATIO,15
LIVINGAPARTMENTS_MEDI,15
BB_AVG_DPD_MONTH_RATIO,15
LANDAREA_MEDI,15
BB_AVG_DPD_LEVEL,15
PREV_MAX_APPLICATION_AMOUNT,14
ELEVATORS_AVG,14
CC_RECENT_DRAWING_MONTH_RATE,14
COMMONAREA_AVG,14
CC_TOTAL_LATEST_CREDIT_LIMIT,14
CC_TOTAL_DRAWING_MONTH_COUNT,14
NONLIVINGAPARTMENTS_MODE,13
YEARS_BUILD_AVG,13
POS_ACTIVE_LOAN_RATE,13
LIVINGAREA_MEDI,13
POS_COMPLETED_LOAN_RATE,13
POS_RECENT_AVG_DPD,13
CC_TOTAL_DRAWING_MONTH_RATE,13
YEARS_BUILD_MEDI,12
CNT_FAM_MEMBERS,12
CC_TOTAL_HISTORY_MONTH_COUNT,12
ENTRANCES_MEDI,12
NAME_HOUSING_TYPE,12
CREDIT_TO_GOODS_GROUP,12
POS_RECENT_MAX_DPD_DEF,12
ENTRANCES_MODE,12
ENTRANCES_AVG,12
POS_RECENT_AVG_DPD_DEF,11
NAME_TYPE_SUITE,11
REGION_RATING_CLIENT,11
CC_TOTAL_SEVERE_DPD_MONTH_RATE,11
FLOORSMAX_MODE,10
PREV_UNUSED_RATE,10
BB_LOAN_COUNT,10
CC_RECENT_AVG_UTILIZATION_RATIO,10
OBS_60_CNT_SOCIAL_CIRCLE,10
CC_TOTAL_PAYMENT_AMOUNT,10
HOUSING_MISSING_COUNT,10
CC_TOTAL_POS_DRAWING_MONTH_COUNT,10
POS_RECENT_DPD_DEF_MONTH_RATE,10
POS_TOTAL_DPD_MONTH_RATE,9
CC_CUSTOMER_MOST_RECENT_MONTH,9
FLAG_PHONE,9
CC_RECENT_TOTAL_PAYMENT_AMOUNT,9
PREV_APPLICATION_COUNT,9
POS_AVG_LOAN_DPD,9
MIN_INSTALMENT_PAYMENT_RATIO,9
CC_TOTAL_DPD_MONTH_RATE,9
CC_TOTAL_UNDER_MIN_PAYMENT_AMOUNT,9
BASEMENTAREA_MEDI,9
CC_MIN_PAYMENT_RATIO,8
POS_TOTAL_SEVERE_DPD_MONTH_COUNT,8
PREV_CONSUMER_LOAN_COUNT,8
CC_RECENT_TOTAL_UNDER_MIN_PAYMENT_AMOUNT,8
LOAN_TO_INCOME_GROUP,8
AMT_REQ_CREDIT_BUREAU_WEEK,8
BB_MAX_DPD_MONTH_RATIO,8
POS_COMPLETED_LOAN_COUNT,8
RECENT_LATE_INSTALMENT_COUNT,8
POS_RECENT_MAX_DPD,8
BB_TOTAL_DPD_MONTH_COUNT,7
BB_AVG_HISTORY_MONTHS,7
OBS_30_CNT_SOCIAL_CIRCLE,7
NONLIVINGAPARTMENTS_AVG,7
NONLIVINGAPARTMENTS_MEDI,7
PREV_APPROVED_COUNT,7
PREV_MIN_PAYMENT_COUNT,7
FLAG_DOCUMENT_14,7
POS_MAX_LATEST_PROGRESS_RATIO,7
BB_LATEST_MONTH,7
ELEVATORS_MEDI,7
CC_MAX_CREDIT_LIMIT,7
CC_RECENT_MAX_BALANCE,7
CC_RECENT_POS_DRAWING_MONTH_COUNT,7
WALLSMATERIAL_MODE,6
CC_TOTAL_DRAWINGS_AMOUNT,6
POS_TOTAL_SEVERE_DPD_MONTH_RATE,6
CC_TOTAL_UNDER_MIN_PAYMENT_MONTH_RATE,6
PREV_ZERO_DOWN_PAYMENT_COUNT,6
PREV_REVOLVING_LOAN_COUNT,6
FLAG_OWN_CAR,6
CC_RECENT_TOTAL_POS_DRAWINGS_AMOUNT,6
VALID_PAYMENT_INSTALMENT_COUNT,6
PREV_CONTRACT_TYPE_COUNT,6
FLAG_DOCUMENT_11,6
FLAG_DOCUMENT_8,6
CC_RECENT_AVG_MIN_PAYMENT,6
CC_TOTAL_DPD_MONTH_COUNT,6
MAX_CREDIT_OVERDUE_DAYS,5
POS_MAX_DPD,5
EMPLOYMENT_TO_AGE_GROUP,5
BB_MAX_DPD_MONTH_COUNT,5
CC_AVG_ACCOUNT_BALANCE,5
INCOME_PER_PERSON_GROUP,5
CC_TOTAL_DPD_DEF_MONTH_RATE,5
ANNUITY_PER_PERSON_GROUP,5
CC_TOTAL_BALANCE_USED_MONTH_RATE,5
ANNUITY_TO_INCOME_GROUP,5
CC_TOTAL_LATEST_RECEIVABLE,5
CC_RECENT_MONTH_COUNT,5
FLOORSMIN_MEDI,5
POS_TOTAL_DPD_MONTH_COUNT,5
CC_AVG_ACCOUNT_DPD_DEF,5
FLAG_DOCUMENT_6,5
AMT_REQ_CREDIT_BUREAU_YEAR,5
CC_AVG_ACCOUNT_DPD,5
RECENT_VALID_PAYMENT_COUNT,4
EXT_SOURCE_2_MISSING,4
FLAG_OWN_REALTY,4
LIVE_CITY_NOT_WORK_CITY,4
POS_RECENT_SEVERE_DPD_MONTH_RATE,4
FONDKAPREMONT_MODE,4
CC_MAX_HISTORY_MONTH_COUNT,4
ELEVATORS_MODE,3
CREDIT_PER_PERSON_GROUP,3
RECENT_MIN_PAYMENT_RATIO,3
CC_COMPLETED_ACCOUNT_COUNT,3
BB_MAX_HISTORY_MONTHS,3
AMT_REQ_CREDIT_BUREAU_DAY,3
POS_RECENT_COMPLETED_MONTH_COUNT,3
POS_ACTIVE_LOAN_COUNT,3
CC_MAX_DPD,2
CC_RECENT_DPD_DEF_MONTH_RATE,2
CC_RECENT_AVG_BALANCE,2
CNT_CHILDREN,2
REMAINING_INCOME_GROUP,2
POS_TOTAL_DPD_DEF_MONTH_COUNT,2
OCCUPATION_TYPE_MISSING,2
AVERAGE_CREDIT_OVERDUE_DAYS,2
BB_AVG_SEVERE_DPD_MONTH_COUNT,2
PREV_CANCELED_COUNT,2
PREV_DOWN_PAYMENT_INFO_COUNT,2
FLOORSMIN_MODE,2
MAX_PAYMENT_COUNT_PER_INSTALMENT,2
RECENT_UNDERPAID_INSTALMENT_COUNT,2
REG_CITY_NOT_WORK_CITY,2
NAME_TYPE_SUITE_MISSING,2
REG_REGION_NOT_WORK_REGION,2
FLAG_EMAIL,2
POS_RECENT_DPD_MONTH_COUNT,2
BB_AVG_SEVERE_DPD_MONTH_RATIO,1
PREV_UNUSED_COUNT,1
CC_RECENT_ATM_DRAWING_MONTH_COUNT,1
CC_RECENT_DRAWING_MONTH_COUNT,1
CC_RECENT_BALANCE_USED_MONTH_COUNT,1
SOLD_CREDIT_COUNT,1
FLAG_EMP_PHONE,1
FLAG_DOCUMENT_15,1
BB_MAX_DPD_LEVEL,1
POS_RECENT_DPD_DEF_MONTH_COUNT,1
BB_MAX_SEVERE_DPD_MONTH_RATIO,1
STATUS_COUNT_CHECK,1
FLAG_DOCUMENT_5,1
DAYS_EMPLOYED_ANOMALY,1
CC_RECENT_UNDER_MIN_PAYMENT_MONTH_RATE,1
UNDERPAID_INSTALMENT_COUNT,1
POS_TOTAL_SEVERE_DPD_DEF_MONTH_RATE,1
CONTRACT_TYPE_COUNT_CHECK,1
HAS_POS_CASH_HISTORY,0
CC_RECENT_DPD_MONTH_RATE,0
HAS_INSTALLMENT_HISTORY,0
HAS_PREVIOUS_APPLICATION_HISTORY,0
HAS_BUREAU_BALANCE_HISTORY,0
AMT_REQ_CREDIT_BUREAU_HOUR,0
FLAG_MOBIL,0
HAS_BUREAU_HISTORY,0
CC_RECENT_SEVERE_DPD_MONTH_RATE,0
